,university,journal,issn,access,notes
1518,University_of_Florida_Cleaned,AREA,0004-0894,1,
1519,University_of_Florida_Cleaned,ARID ECOSYSTEMS,2079-0961,1,
1520,University_of_Florida_Cleaned,ARID LAND RESEARCH AND MANAGEMENT,1532-4982,1,
1521,University_of_Florida_Cleaned,ARTHROPOD-PLANT INTERACTIONS,1872-8855,1,
1522,University_of_Florida_Cleaned,ASIA-PACIFIC JOURNAL OF PUBLIC HEALTH,1010-5395,1,
1523,University_of_Florida_Cleaned,ASIA LIFE SCIENCES,0117-3375,1,
1524,University_of_Florida_Cleaned,ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES,1011-2367,1,
1525,University_of_Florida_Cleaned,ASIAN JOURNAL OF CHEMISTRY,0970-7077,0,
1526,University_of_Florida_Cleaned,ASIAN JOURNAL OF WATER ENVIRONMENT AND POLLUTION,0972-9860,0,
1527,University_of_Florida_Cleaned,ASIAN PACIFIC JOURNAL OF TROPICAL MEDICINE,1995-7645,1,
1528,University_of_Florida_Cleaned,ATMOSPHERIC ENVIRONMENT,1352-2310,1,
1529,University_of_Florida_Cleaned,ATMOSPHERIC RESEARCH,0169-8095,1,
1530,University_of_Florida_Cleaned,AUK,0004-8038,1,
1531,University_of_Florida_Cleaned,AUSTRAL ECOLOGY,1442-9985,1,
1532,University_of_Florida_Cleaned,AUSTRAL ENTOMOLOGY,2052-1758,1,
1533,University_of_Florida_Cleaned,AUSTRALASIAN JOURNAL OF ENVIRONMENTAL MANAGEMENT,1448-6563,1,
1534,University_of_Florida_Cleaned,AUSTRALASIAN PLANT PATHOLOGY,0815-3191,1,
1535,University_of_Florida_Cleaned,AUSTRALIAN FORESTRY,0004-9158,0,
1536,University_of_Florida_Cleaned,AUSTRALIAN GEOGRAPHER,0004-9182,1,
1537,University_of_Florida_Cleaned,AUSTRALIAN JOURNAL OF BOTANY,0067-1924,1,
1538,University_of_Florida_Cleaned,AUSTRALIAN JOURNAL OF EARTH SCIENCES,0812-0099,1,
1539,University_of_Florida_Cleaned,AUSTRALIAN JOURNAL OF EXPERIMENTAL AGRICULTURE,0816-1089,1,
1540,University_of_Florida_Cleaned,AUSTRALIAN JOURNAL OF ZOOLOGY,0004-959X,1,
1541,University_of_Florida_Cleaned,AUSTRALIAN LAW JOURNAL,0004-9611,0,
1542,University_of_Florida_Cleaned,AUSTRALIAN MAMMALOGY,0310-0049,1,
1543,University_of_Florida_Cleaned,AUSTRALIAN SYSTEMATIC BOTANY,1030-1887,1,
1544,University_of_Florida_Cleaned,AUSTRIAN JOURNAL OF FOREST SCIENCE,0379-5292,1,
1545,University_of_Florida_Cleaned,AUTOMATICA,0005-1098,1,
1546,University_of_Florida_Cleaned,AVIAN BIOLOGY RESEARCH,1758-1559,1,
1547,University_of_Florida_Cleaned,AVIAN CONSERVATION AND ECOLOGY,1712-6568,1,
1548,University_of_Florida_Cleaned,AVIAN RESEARCH,2053-7166,1,
1549,University_of_Florida_Cleaned,B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,1935-1682,1,
1550,University_of_Florida_Cleaned,BALTIC FORESTRY,1392-1355,1,
1551,University_of_Florida_Cleaned,BALTIC JOURNAL OF ECONOMIC STUDIES,2256-0742,1,
1552,University_of_Florida_Cleaned,BASIC AND APPLIED ECOLOGY,1439-1791,1,
1553,University_of_Florida_Cleaned,BEHAVIORAL ECOLOGY,1045-2249,1,
1554,University_of_Florida_Cleaned,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,1,
1555,University_of_Florida_Cleaned,BEHAVIOUR,0005-7959,1,
1556,University_of_Florida_Cleaned,BEHAVIOURAL PROCESSES,0376-6357,1,
1557,University_of_Florida_Cleaned,BELGIAN JOURNAL OF BOTANY,0778-4031,1,
1558,University_of_Florida_Cleaned,BELGIAN JOURNAL OF ZOOLOGY,0777-6276,1,
1559,University_of_Florida_Cleaned,BERICHTE UBER LANDWIRTSCHAFT,2196-5099,1,
1560,University_of_Florida_Cleaned,BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT,0005-9366,1,
1561,University_of_Florida_Cleaned,BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,0952-4622,1,
1562,University_of_Florida_Cleaned,BIOCHEMICAL GENETICS,0006-2928,1,
1563,University_of_Florida_Cleaned,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,0305-1978,1,
1564,University_of_Florida_Cleaned,BIOCONTROL,1386-6141,1,
1565,University_of_Florida_Cleaned,BIOCONTROL SCIENCE AND TECHNOLOGY,0958-3157,1,
1566,University_of_Florida_Cleaned,BIODIVERSITY AND CONSERVATION,0960-3115,1,
1567,University_of_Florida_Cleaned,BIOENERGY RESEARCH,1939-1234,1,
1568,University_of_Florida_Cleaned,BIOETHICS,0269-9702,1,
1569,University_of_Florida_Cleaned,BIOFOULING,0892-7014,1,
1570,University_of_Florida_Cleaned,BIOFUELS BIOPRODUCTS & BIOREFINING-BIOFPR,1932-104X,1,
1571,University_of_Florida_Cleaned,BIOGEOCHEMISTRY,0168-2563,1,
1572,University_of_Florida_Cleaned,BIOLOGIA,0006-3088,1,
1573,University_of_Florida_Cleaned,BIOLOGICAL AGRICULTURE & HORTICULTURE,0144-8765,0,
1574,University_of_Florida_Cleaned,BIOLOGICAL BULLETIN,0006-3185,1,
1575,University_of_Florida_Cleaned,BIOLOGICAL CONSERVATION,0006-3207,1,
1576,University_of_Florida_Cleaned,BIOLOGICAL CONTROL,1049-9644,1,
1577,University_of_Florida_Cleaned,BIOLOGICAL INVASIONS,1387-3547,1,
1578,University_of_Florida_Cleaned,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4066,1,
1579,University_of_Florida_Cleaned,BIOLOGICAL REVIEWS,1464-7931,1,
1580,University_of_Florida_Cleaned,BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY,0791-7945,1,
1581,University_of_Florida_Cleaned,BIOLOGY LETTERS,1744-9561,1,
1582,University_of_Florida_Cleaned,BIOMASS & BIOENERGY,0961-9534,1,
1583,University_of_Florida_Cleaned,BIOMETRICS,0006-341X,1,
1584,University_of_Florida_Cleaned,BIOSCIENCE,0006-3568,1,
1585,University_of_Florida_Cleaned,BIOSYSTEMS DIVERSITY,2310-0842,1,
1586,University_of_Florida_Cleaned,BIOTA NEOTROPICA,1676-0603,1,
1587,University_of_Florida_Cleaned,BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,1310-2818,1,
1588,University_of_Florida_Cleaned,BIOTECHNOLOGY ADVANCES,0734-9750,1,
1589,University_of_Florida_Cleaned,BIOTROPICA,0006-3606,1,
1590,University_of_Florida_Cleaned,BIRD CONSERVATION INTERNATIONAL,0959-2709,1,
1591,University_of_Florida_Cleaned,BIRD STUDY,0006-3657,1,
1592,University_of_Florida_Cleaned,BOIS ET FORETS DES TROPIQUES,0006-579X,0,
1593,University_of_Florida_Cleaned,BOREAL ENVIRONMENT RESEARCH,1239-6095,1,
1594,University_of_Florida_Cleaned,BOSQUE,0717-9200,1,
1595,University_of_Florida_Cleaned,BOSTON UNIVERSITY LAW REVIEW,0006-8047,1,
1596,University_of_Florida_Cleaned,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4074,1,
1597,University_of_Florida_Cleaned,BOTANICAL REVIEW,0006-8101,1,
1598,University_of_Florida_Cleaned,BOTANY,1916-2790,1,
1599,University_of_Florida_Cleaned,BOTANY LETTERS,2381-8107,0,
1600,University_of_Florida_Cleaned,BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,1516-8913,1,
1601,University_of_Florida_Cleaned,BRAZILIAN JOURNAL OF BIOLOGY,1519-6984,1,
1602,University_of_Florida_Cleaned,BRAZILIAN JOURNAL OF BOTANY,0100-8404,1,
1603,University_of_Florida_Cleaned,BRAZILIAN JOURNAL OF OCEANOGRAPHY,1679-8759,1,
1604,University_of_Florida_Cleaned,BRITISH FOOD JOURNAL,0007-070X,1,
1605,University_of_Florida_Cleaned,BUILDING AND ENVIRONMENT,0360-1323,1,
1606,University_of_Florida_Cleaned,BUILDING RESEARCH AND INFORMATION,0961-3218,1,
1607,University_of_Florida_Cleaned,BULGARIAN CHEMICAL COMMUNICATIONS,0324-1130,0,
1608,University_of_Florida_Cleaned,BULGARIAN JOURNAL OF AGRICULTURAL SCIENCE,1310-0351,1,
1609,University_of_Florida_Cleaned,BULLETIN FRANCAIS DE LA PECHE ET DE LA PISCICULTURE,0767-2861,0,
1610,University_of_Florida_Cleaned,BULLETIN OF ENTOMOLOGICAL RESEARCH,0007-4853,1,
1611,University_of_Florida_Cleaned,BULLETIN OF MARINE SCIENCE,0007-4977,1,
1612,University_of_Florida_Cleaned,BULLETIN OF MATHEMATICAL BIOLOGY,0092-8240,1,
1613,University_of_Florida_Cleaned,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,0003-0007,1,
1614,University_of_Florida_Cleaned,BULLETIN OF THE NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF KAZAKHSTAN,1991-3494,0,
1615,University_of_Florida_Cleaned,BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,0079-032X,1,
1616,University_of_Florida_Cleaned,BUSINESS & SOCIETY,0007-6503,1,
1617,University_of_Florida_Cleaned,BUSINESS STRATEGY AND THE ENVIRONMENT,0964-4733,1,
1618,University_of_Florida_Cleaned,CAHIERS DE BIOLOGIE MARINE,0007-9723,0,
1619,University_of_Florida_Cleaned,CANADIAN ENTOMOLOGIST,0008-347X,1,
1620,University_of_Florida_Cleaned,CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,0008-3658,1,
1621,University_of_Florida_Cleaned,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,0008-3976,1,
1622,University_of_Florida_Cleaned,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,0008-4026,1,
1623,University_of_Florida_Cleaned,CANADIAN JOURNAL OF DEVELOPMENT STUDIES-REVUE CANADIENNE D ETUDES DU DEVELOPPEMENT,0225-5189,0,
1624,University_of_Florida_Cleaned,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,0706-652X,1,
1625,University_of_Florida_Cleaned,CANADIAN JOURNAL OF FOREST RESEARCH,0045-5067,1,
1626,University_of_Florida_Cleaned,CANADIAN JOURNAL OF PLANT SCIENCE,0008-4220,1,
1627,University_of_Florida_Cleaned,CANADIAN JOURNAL OF REMOTE SENSING,0703-8992,0,
1628,University_of_Florida_Cleaned,CANADIAN JOURNAL OF SOIL SCIENCE,0008-4271,1,
1629,University_of_Florida_Cleaned,CANADIAN JOURNAL OF ZOOLOGY,0008-4301,1,
1630,University_of_Florida_Cleaned,CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,0317-0861,1,
1631,University_of_Florida_Cleaned,CANADIAN WATER RESOURCES JOURNAL,0701-1784,1,
1632,University_of_Florida_Cleaned,CANDOLLEA,0373-2967,1,
1633,University_of_Florida_Cleaned,CARBON MANAGEMENT,1758-3004,1,
1634,University_of_Florida_Cleaned,CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,1842-4090,0,
1635,University_of_Florida_Cleaned,CASTANEA,0008-7475,1,
1636,University_of_Florida_Cleaned,CATENA,0341-8162,1,
1637,University_of_Florida_Cleaned,CCAMLR SCIENCE,1023-4063,1,
1638,University_of_Florida_Cleaned,CENTRAL EUROPEAN FORESTRY JOURNAL,2454-034X,0,
1639,University_of_Florida_Cleaned,CENTRAL EUROPEAN JOURNAL OF BIOLOGY,1895-104X,1,
1640,University_of_Florida_Cleaned,CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH,1435-246X,1,
1641,University_of_Florida_Cleaned,CEREAL RESEARCH COMMUNICATIONS,0133-3720,1,
1642,University_of_Florida_Cleaned,CHAOS SOLITONS & FRACTALS,0960-0779,1,
1643,University_of_Florida_Cleaned,CHELONIAN CONSERVATION AND BIOLOGY,1071-8443,1,
1644,University_of_Florida_Cleaned,CHEMISTRY AND ECOLOGY,0275-7540,1,
1645,University_of_Florida_Cleaned,CHEMOECOLOGY,0937-7409,1,
1646,University_of_Florida_Cleaned,CHEMOSPHERE,0045-6535,1,
1647,University_of_Florida_Cleaned,CHIANG MAI JOURNAL OF SCIENCE,0125-2526,0,
1648,University_of_Florida_Cleaned,CHINA ECONOMIC REVIEW,1043-951X,1,
1649,University_of_Florida_Cleaned,CHINA OCEAN ENGINEERING,0890-5487,0,
1650,University_of_Florida_Cleaned,CHINESE GEOGRAPHICAL SCIENCE,1002-0063,1,
1651,University_of_Florida_Cleaned,CHINESE JOURNAL OF INTERNATIONAL LAW,1540-1650,1,
1652,University_of_Florida_Cleaned,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,0254-4059,1,
1653,University_of_Florida_Cleaned,CHINESE JOURNAL OF POPULATION RESOURCES AND ENVIRONMENT,1004-2857,0,
1654,University_of_Florida_Cleaned,CHINESE SCIENCE BULLETIN,1001-6538,1,
1655,University_of_Florida_Cleaned,CHUNGARA-REVISTA DE ANTROPOLOGIA CHILENA,0716-1182,1,
1656,University_of_Florida_Cleaned,CIENCIA & SAUDE COLETIVA,1413-8123,1,
1657,University_of_Florida_Cleaned,CIENCIAS MARINAS,0185-3880,1,
1658,University_of_Florida_Cleaned,CITIES,0264-2751,1,
1659,University_of_Florida_Cleaned,CIVIL AND ENVIRONMENTAL ENGINEERING REPORTS,2080-5187,1,
1660,University_of_Florida_Cleaned,CLEAN-SOIL AIR WATER,1863-0650,1,
1661,University_of_Florida_Cleaned,CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,1618-954X,1,
1662,University_of_Florida_Cleaned,CLIMATE AND DEVELOPMENT,1756-5529,0,
1663,University_of_Florida_Cleaned,CLIMATE DYNAMICS,0930-7575,1,
1664,University_of_Florida_Cleaned,CLIMATE POLICY,1469-3062,1,
1665,University_of_Florida_Cleaned,CLIMATE RESEARCH,0936-577X,1,
1666,University_of_Florida_Cleaned,CLIMATE RISK MANAGEMENT,2212-0963,1,
1667,University_of_Florida_Cleaned,CLIMATIC CHANGE,0165-0009,1,
1668,University_of_Florida_Cleaned,COASTAL MANAGEMENT,0892-0753,1,
1669,University_of_Florida_Cleaned,COLD REGIONS SCIENCE AND TECHNOLOGY,0165-232X,1,
1670,University_of_Florida_Cleaned,COMMUNICATIO-SOUTH AFRICAN JOURNAL FOR COMMUNICATION THEORY AND RESEARCH,0250-0167,0,
1671,University_of_Florida_Cleaned,COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,1007-5704,1,
1672,University_of_Florida_Cleaned,COMMUNITY ECOLOGY,1585-8553,1,
1673,University_of_Florida_Cleaned,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,1095-6433,1,
1674,University_of_Florida_Cleaned,COMPARATIVE COGNITION & BEHAVIOR REVIEWS,1911-4745,1,
1675,University_of_Florida_Cleaned,COMPARATIVE POLITICS,0010-4159,1,
1676,University_of_Florida_Cleaned,COMPTES RENDUS BIOLOGIES,1631-0691,1,
1677,University_of_Florida_Cleaned,COMPTES RENDUS GEOSCIENCE,1631-0713,1,
1678,University_of_Florida_Cleaned,COMPUTATIONAL & APPLIED MATHEMATICS,0101-8205,0,
1679,University_of_Florida_Cleaned,COMPUTER JOURNAL,0010-4620,1,
1680,University_of_Florida_Cleaned,COMPUTERS & GEOSCIENCES,0098-3004,1,
1681,University_of_Florida_Cleaned,COMPUTERS AND ELECTRONICS IN AGRICULTURE,0168-1699,1,
1682,University_of_Florida_Cleaned,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,0198-9715,1,
1683,University_of_Florida_Cleaned,CONDOR,0010-5422,1,
1684,University_of_Florida_Cleaned,CONFIGURATIONS,1063-1801,1,
1685,University_of_Florida_Cleaned,CONSERVATION & SOCIETY,0972-4923,1,
1686,University_of_Florida_Cleaned,CONSERVATION BIOLOGY,0888-8892,1,
1687,University_of_Florida_Cleaned,CONSERVATION ECOLOGY,1195-5449,1,
1688,University_of_Florida_Cleaned,CONSERVATION GENETICS,1566-0621,1,
1689,University_of_Florida_Cleaned,CONSERVATION GENETICS RESOURCES,1877-7252,1,
1690,University_of_Florida_Cleaned,CONSERVATION LETTERS,1755-263X,1,
1691,University_of_Florida_Cleaned,CONSERVATION PHYSIOLOGY,2051-1434,1,
1692,University_of_Florida_Cleaned,CONTEMPORARY PROBLEMS OF ECOLOGY,1995-4255,1,
1693,University_of_Florida_Cleaned,CONTEMPORARY TRENDS IN GEOSCIENCE,2084-5707,1,
1694,University_of_Florida_Cleaned,CONTINENTAL SHELF RESEARCH,0278-4343,1,
1695,University_of_Florida_Cleaned,COPEIA,0045-8511,1,
1696,University_of_Florida_Cleaned,CORAL REEFS,0722-4028,1,
1697,University_of_Florida_Cleaned,CRITICAL REVIEWS IN BIOTECHNOLOGY,0738-8551,1,
1698,University_of_Florida_Cleaned,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1064-3389,1,
1699,University_of_Florida_Cleaned,CRITICAL REVIEWS IN PLANT SCIENCES,0735-2689,1,
1700,University_of_Florida_Cleaned,CRITICAL REVIEWS IN TOXICOLOGY,1040-8444,1,
1701,University_of_Florida_Cleaned,CROP & PASTURE SCIENCE,1836-0947,1,
1702,University_of_Florida_Cleaned,CROP PROTECTION,0261-2194,1,
1703,University_of_Florida_Cleaned,CROP SCIENCE,0011-183X,1,
1704,University_of_Florida_Cleaned,CROSS-CULTURAL RESEARCH,1069-3971,1,
1705,University_of_Florida_Cleaned,CRUSTACEANA,0011-216X,1,
1706,University_of_Florida_Cleaned,CRYPTOGAMIE BRYOLOGIE,1290-0796,1,
1707,University_of_Florida_Cleaned,CRYPTOGAMIE MYCOLOGIE,0181-1584,1,
1708,University_of_Florida_Cleaned,CUADERNOS DE BIOETICA,1132-1989,1,
1709,University_of_Florida_Cleaned,CUADERNOS DE INVESTIGACION GEOGRAFICA,0211-6820,1,
1710,University_of_Florida_Cleaned,CUBAN JOURNAL OF AGRICULTURAL SCIENCE,0864-0408,1,
1711,University_of_Florida_Cleaned,CULTURAL ANTHROPOLOGY,0886-7356,1,
1712,University_of_Florida_Cleaned,CURRENT ANTHROPOLOGY,0011-3204,1,
1713,University_of_Florida_Cleaned,CURRENT BIOLOGY,0960-9822,1,
1714,University_of_Florida_Cleaned,CURRENT FORESTRY REPORTS,2198-6436,1,
1715,University_of_Florida_Cleaned,CURRENT ISSUES IN TOURISM,1368-3500,1,
1716,University_of_Florida_Cleaned,CURRENT OPINION IN BEHAVIORAL SCIENCES,2352-1546,1,
1717,University_of_Florida_Cleaned,CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,1877-3435,1,
1718,University_of_Florida_Cleaned,CURRENT OPINION IN INSECT SCIENCE,2214-5745,1,
1719,University_of_Florida_Cleaned,CURRENT OPINION IN MICROBIOLOGY,1369-5274,1,
1720,University_of_Florida_Cleaned,CURRENT SCIENCE,0011-3891,1,
1721,University_of_Florida_Cleaned,CURRENT SOCIOLOGY,0011-3921,1,
1722,University_of_Florida_Cleaned,CURRENT ZOOLOGY,1674-5507,1,
1723,University_of_Florida_Cleaned,CUSTOS E AGRONEGOCIO ON LINE,1808-2882,1,
1724,University_of_Florida_Cleaned,DATA IN BRIEF,2352-3409,1,
1725,University_of_Florida_Cleaned,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,0967-0637,1,
1726,University_of_Florida_Cleaned,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,0967-0645,1,
1727,University_of_Florida_Cleaned,DENDROBIOLOGY,1641-1307,1,
1728,University_of_Florida_Cleaned,DESALINATION,0011-9164,1,
1729,University_of_Florida_Cleaned,DESALINATION AND WATER TREATMENT,1944-3994,0,
1730,University_of_Florida_Cleaned,DESENVOLVIMENTO E MEIO AMBIENTE,1518-952X,1,
1731,University_of_Florida_Cleaned,DEVELOPMENT AND CHANGE,0012-155X,1,
1732,University_of_Florida_Cleaned,DEVELOPMENT POLICY REVIEW,0950-6764,1,
1733,University_of_Florida_Cleaned,DEVELOPMENT SOUTHERN AFRICA,0376-835X,1,
1734,University_of_Florida_Cleaned,DIATOM RESEARCH,0269-249X,1,
1735,University_of_Florida_Cleaned,DIFFERENTIAL EQUATIONS AND DYNAMICAL SYSTEMS,0971-3514,1,
1736,University_of_Florida_Cleaned,DISASTER ADVANCES,0974-262X,0,
1737,University_of_Florida_Cleaned,DISASTER PREVENTION AND MANAGEMENT,0965-3562,1,
1738,University_of_Florida_Cleaned,DISASTERS,0361-3666,1,
1739,University_of_Florida_Cleaned,DISEASES OF AQUATIC ORGANISMS,0177-5103,1,
1740,University_of_Florida_Cleaned,DIVERSITY AND DISTRIBUTIONS,1366-9516,1,
1741,University_of_Florida_Cleaned,EARTH-SCIENCE REVIEWS,0012-8252,1,
1742,University_of_Florida_Cleaned,EARTH AND ENVIRONMENTAL SCIENCE TRANSACTIONS OF THE ROYAL SOCIETY OF EDINBURGH,1755-6910,1,
1743,University_of_Florida_Cleaned,EARTH INTERACTIONS,1087-3562,1,
1744,University_of_Florida_Cleaned,EARTHS FUTURE,2328-4277,1,
1745,University_of_Florida_Cleaned,ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH,2073-106X,1,
1746,University_of_Florida_Cleaned,ECOGRAPHY,0906-7590,1,
1747,University_of_Florida_Cleaned,ECOHEALTH,1612-9202,1,
1748,University_of_Florida_Cleaned,ECOHYDROLOGY,1936-0584,1,
1749,University_of_Florida_Cleaned,ECOHYDROLOGY & HYDROBIOLOGY,1642-3593,1,
1750,University_of_Florida_Cleaned,ECOLOGICAL APPLICATIONS,1051-0761,1,
1751,University_of_Florida_Cleaned,ECOLOGICAL COMPLEXITY,1476-945X,1,
1752,University_of_Florida_Cleaned,ECOLOGICAL ECONOMICS,0921-8009,1,
1753,University_of_Florida_Cleaned,ECOLOGICAL ENGINEERING,0925-8574,1,
1754,University_of_Florida_Cleaned,ECOLOGICAL ENTOMOLOGY,0307-6946,1,
1755,University_of_Florida_Cleaned,ECOLOGICAL INDICATORS,1470-160X,1,
1756,University_of_Florida_Cleaned,ECOLOGICAL INFORMATICS,1574-9541,1,
1757,University_of_Florida_Cleaned,ECOLOGICAL MANAGEMENT & RESTORATION,1442-7001,1,
1758,University_of_Florida_Cleaned,ECOLOGICAL MODELLING,0304-3800,1,
1759,University_of_Florida_Cleaned,ECOLOGICAL MONOGRAPHS,0012-9615,1,
1760,University_of_Florida_Cleaned,ECOLOGICAL QUESTIONS,1644-7298,1,
1761,University_of_Florida_Cleaned,ECOLOGICAL RESEARCH,0912-3814,1,
1762,University_of_Florida_Cleaned,ECOLOGICAL RESTORATION,1543-4060,1,
1763,University_of_Florida_Cleaned,ECOLOGY,0012-9658,1,
1764,University_of_Florida_Cleaned,ECOLOGY AND EVOLUTION,2045-7758,1,
1765,University_of_Florida_Cleaned,ECOLOGY AND SOCIETY,1708-3087,1,
1766,University_of_Florida_Cleaned,ECOLOGY LAW QUARTERLY,0046-1121,1,
1767,University_of_Florida_Cleaned,ECOLOGY LETTERS,1461-023X,1,
1768,University_of_Florida_Cleaned,ECOLOGY OF FRESHWATER FISH,0906-6691,1,
1769,University_of_Florida_Cleaned,ECONOMIC AND LABOUR RELATIONS REVIEW,1035-3046,1,
1770,University_of_Florida_Cleaned,ECONOMIC AND SOCIAL CHANGES-FACTS TRENDS FORECAST,2307-0331,1,
1771,University_of_Florida_Cleaned,ECONOMIC BOTANY,0013-0001,1,
1772,University_of_Florida_Cleaned,ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,1331-677X,1,
1773,University_of_Florida_Cleaned,ECONOMIC SYSTEMS RESEARCH,0953-5314,1,
1774,University_of_Florida_Cleaned,ECONOMIC THEORY,0938-2259,1,
1775,University_of_Florida_Cleaned,ECOSCIENCE,1195-6860,1,
1776,University_of_Florida_Cleaned,ECOSPHERE,2150-8925,1,
1777,University_of_Florida_Cleaned,ECOSYSTEM HEALTH,1076-2825,1,
1778,University_of_Florida_Cleaned,ECOSYSTEM SERVICES,2212-0416,1,
1779,University_of_Florida_Cleaned,ECOSYSTEMS,1432-9840,1,
1780,University_of_Florida_Cleaned,ECOTOXICOLOGY,0963-9292,1,
1781,University_of_Florida_Cleaned,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,0147-6513,1,
1782,University_of_Florida_Cleaned,ECOTROPICA,0949-3026,1,
1783,University_of_Florida_Cleaned,EGYPTIAN JOURNAL OF REMOTE SENSING AND SPACE SCIENCES,1110-9823,1,
1784,University_of_Florida_Cleaned,EKOLOGIA-BRATISLAVA,1335-342X,1,
1785,University_of_Florida_Cleaned,EKOLOJI,1300-1361,1,
1786,University_of_Florida_Cleaned,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,2325-1026,1,
1787,University_of_Florida_Cleaned,EMERGING INFECTIOUS DISEASES,1080-6040,1,
1788,University_of_Florida_Cleaned,EMU,0158-4197,1,
1789,University_of_Florida_Cleaned,ENDANGERED SPECIES RESEARCH,1863-5407,1,
1790,University_of_Florida_Cleaned,ENERGY AND BUILDINGS,0378-7788,1,
1791,University_of_Florida_Cleaned,ENERGY CONVERSION AND MANAGEMENT,0196-8904,1,
1792,University_of_Florida_Cleaned,ENERGY ECONOMICS,0140-9883,1,
1793,University_of_Florida_Cleaned,ENERGY POLICY,0301-4215,1,
1794,University_of_Florida_Cleaned,ENERGY RESEARCH & SOCIAL SCIENCE,2214-6296,1,
1795,University_of_Florida_Cleaned,ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,1556-7036,0,
1796,University_of_Florida_Cleaned,ENGENHARIA AGRICOLA,0100-6916,1,
1797,University_of_Florida_Cleaned,ENGINEERING,2095-8099,1,
1798,University_of_Florida_Cleaned,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0952-1976,1,
1799,University_of_Florida_Cleaned,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,0013-8703,1,
1800,University_of_Florida_Cleaned,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,0898-5626,1,
1801,University_of_Florida_Cleaned,ENVIRONMENT,0013-9157,1,
1802,University_of_Florida_Cleaned,ENVIRONMENT AND BEHAVIOR,0013-9165,1,
1803,University_of_Florida_Cleaned,ENVIRONMENT AND DEVELOPMENT ECONOMICS,1355-770X,1,
1804,University_of_Florida_Cleaned,ENVIRONMENT AND HISTORY,0967-3407,1,
1805,University_of_Florida_Cleaned,ENVIRONMENT AND PLANNING A,0308-518X,1,
1806,University_of_Florida_Cleaned,ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,0265-8135,0,
1807,University_of_Florida_Cleaned,ENVIRONMENT AND PLANNING C-GOVERNMENT AND POLICY,0263-774X,1,
1808,University_of_Florida_Cleaned,ENVIRONMENT AND SOCIETY-ADVANCES IN RESEARCH,2150-6779,1,
1809,University_of_Florida_Cleaned,ENVIRONMENT AND URBANIZATION,0956-2478,1,
1810,University_of_Florida_Cleaned,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,1387-585X,1,
1811,University_of_Florida_Cleaned,ENVIRONMENT INTERNATIONAL,0160-4120,1,
1812,University_of_Florida_Cleaned,ENVIRONMENTAL & RESOURCE ECONOMICS,0924-6460,1,
1813,University_of_Florida_Cleaned,ENVIRONMENTAL AND PLANNING LAW JOURNAL,0813-300X,0,
