,journal,issn,access,notes,university
727,JOURNAL OF APPLIED ECOLOGY,0021-8901,1,,ualberta
728,JOURNAL OF APPLIED ENTOMOLOGY,0931-2048,1,,ualberta
729,JOURNAL OF APPLIED GENETICS,1234-1983,1,,ualberta
730,JOURNAL OF APPLIED ICHTHYOLOGY,0175-8659,1,,ualberta
731,JOURNAL OF APPLIED METEOROLOGY,0894-8763,1,,ualberta
732,JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY,1558-8424,1,,ualberta
733,JOURNAL OF APPLIED PHYCOLOGY,0921-8971,1,,ualberta
734,JOURNAL OF APPLIED REMOTE SENSING,1931-3195,0,,ualberta
735,JOURNAL OF AQUATIC PLANT MANAGEMENT,0146-6623,1,,ualberta
736,JOURNAL OF ARCHAEOLOGICAL RESEARCH,1059-0161,1,,ualberta
737,JOURNAL OF ARCHAEOLOGICAL SCIENCE,0305-4403,1,,ualberta
738,JOURNAL OF ARID ENVIRONMENTS,0140-1963,1,,ualberta
739,JOURNAL OF ARID LAND,1674-6767,1,,ualberta
740,JOURNAL OF ARTHROPOD-BORNE DISEASES,2322-1984,1,,ualberta
741,JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,1226-8615,1,,ualberta
742,JOURNAL OF AVIAN BIOLOGY,0908-8857,1,,ualberta
743,JOURNAL OF BASIC MICROBIOLOGY,0233-111X,1,,ualberta
744,JOURNAL OF BIOENERGY AND FOOD SCIENCE,2359-2710,1,,ualberta
745,JOURNAL OF BIOGEOGRAPHY,0305-0270,1,,ualberta
746,JOURNAL OF BIOLOGICAL DYNAMICS,1751-3758,1,,ualberta
747,JOURNAL OF BIOLOGICAL PHYSICS,0092-0606,1,,ualberta
748,JOURNAL OF BIOLOGICAL SYSTEMS,0218-3390,1,,ualberta
749,JOURNAL OF BRYOLOGY,0373-6687,1,,ualberta
750,JOURNAL OF BUSINESS ETHICS,0167-4544,1,,ualberta
751,JOURNAL OF CHEMICAL ECOLOGY,0098-0331,1,,ualberta
752,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,0268-2575,1,,ualberta
753,JOURNAL OF CLEANER PRODUCTION,0959-6526,1,,ualberta
754,JOURNAL OF CLIMATE,0894-8755,1,,ualberta
755,JOURNAL OF COASTAL CONSERVATION,1400-0350,1,,ualberta
756,JOURNAL OF COASTAL RESEARCH,0749-0208,1,,ualberta
757,JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,1052-9284,1,,ualberta
758,JOURNAL OF CONTEMPORARY WATER RESEARCH & EDUCATION,1936-7031,1,,ualberta
759,JOURNAL OF CRUSTACEAN BIOLOGY,0278-0372,1,,ualberta
760,JOURNAL OF CULTURAL HERITAGE,1296-2074,1,,ualberta
761,JOURNAL OF CULTURAL HERITAGE MANAGEMENT AND SUSTAINABLE DEVELOPMENT,2044-1266,1,,ualberta
762,JOURNAL OF DESTINATION MARKETING & MANAGEMENT,2212-571X,1,,ualberta
763,JOURNAL OF DYNAMICS AND GAMES,2164-6066,0,,ualberta
764,JOURNAL OF ECOLOGY,0022-0477,1,,ualberta
765,JOURNAL OF ECONOMIC AND SOCIAL POLICY,1325-2224,1,,ualberta
766,JOURNAL OF ECONOMIC ENTOMOLOGY,0022-0493,1,,ualberta
767,JOURNAL OF ENERGY & NATURAL RESOURCES LAW,0264-6811,1,,ualberta
768,JOURNAL OF ENTOMOLOGICAL SCIENCE,0749-8004,1,,ualberta
769,JOURNAL OF ENVIRONMENT & DEVELOPMENT,1070-4965,1,,ualberta
770,JOURNAL OF ENVIRONMENTAL ACCOUNTING AND MANAGEMENT,2325-6192,1,,ualberta
771,JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,1083-1363,1,,ualberta
772,JOURNAL OF ENVIRONMENTAL BIOLOGY,0254-8704,1,,ualberta
773,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,0095-0696,1,,ualberta
774,JOURNAL OF ENVIRONMENTAL ECONOMICS AND POLICY,2160-6544,0,,ualberta
775,JOURNAL OF ENVIRONMENTAL ENGINEERING,0733-9372,1,,ualberta
776,JOURNAL OF ENVIRONMENTAL ENGINEERING AND SCIENCE,1496-2551,1,,ualberta
777,JOURNAL OF ENVIRONMENTAL INFORMATICS,1726-2135,0,,ualberta
778,JOURNAL OF ENVIRONMENTAL LAW,0952-8873,1,,ualberta
779,JOURNAL OF ENVIRONMENTAL MANAGEMENT,0301-4797,1,,ualberta
780,JOURNAL OF ENVIRONMENTAL MONITORING,1464-0325,1,,ualberta
781,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,0964-0568,1,,ualberta
782,JOURNAL OF ENVIRONMENTAL POLICY & PLANNING,1523-908X,0,,ualberta
783,JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,1311-5065,1,,ualberta
784,JOURNAL OF ENVIRONMENTAL QUALITY,0047-2425,1,,ualberta
785,JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,0265-931X,1,,ualberta
786,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,0360-1234,1,,ualberta
787,JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,0119-1144,0,,ualberta
788,JOURNAL OF ENVIRONMENTAL SCIENCES,1001-0742,1,,ualberta
789,JOURNAL OF ETHNOBIOLOGY,0278-0771,1,,ualberta
790,JOURNAL OF ETHNOPHARMACOLOGY,0378-8741,1,,ualberta
791,JOURNAL OF EUKARYOTIC MICROBIOLOGY,1066-5234,1,,ualberta
792,JOURNAL OF EUROPEAN PUBLIC POLICY,1350-1763,1,,ualberta
793,JOURNAL OF EXPERIENTIAL EDUCATION,1053-8259,1,,ualberta
794,JOURNAL OF EXPERIMENTAL BIOLOGY,0022-0949,1,,ualberta
795,JOURNAL OF EXPERIMENTAL BOTANY,0022-0957,1,,ualberta
796,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,0022-0981,1,,ualberta
797,JOURNAL OF FIELD ORNITHOLOGY,0273-8570,1,,ualberta
798,JOURNAL OF FISH AND WILDLIFE MANAGEMENT,1944-687X,1,,ualberta
799,JOURNAL OF FISH BIOLOGY,0022-1112,1,,ualberta
800,JOURNAL OF FLOOD RISK MANAGEMENT,1753-318X,1,,ualberta
801,JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT,1459-0255,0,,ualberta
802,JOURNAL OF FOREST ECONOMICS,1104-6899,1,,ualberta
803,JOURNAL OF FOREST RESEARCH,1341-6979,1,,ualberta
804,JOURNAL OF FORESTRY,0022-1201,1,,ualberta
805,JOURNAL OF FORESTRY RESEARCH,1007-662X,1,,ualberta
806,JOURNAL OF FRESHWATER ECOLOGY,0270-5060,1,,ualberta
807,JOURNAL OF GENETICS,0022-1333,1,,ualberta
808,JOURNAL OF GEOGRAPHICAL SCIENCES,1009-637X,1,,ualberta
809,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2169-897X,1,,ualberta
810,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2169-8953,1,,ualberta
811,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,2169-9275,1,,ualberta
812,JOURNAL OF GREAT LAKES RESEARCH,0380-1330,1,,ualberta
813,JOURNAL OF GREEN BUILDING,1552-6100,1,,ualberta
814,JOURNAL OF HAZARDOUS MATERIALS,0304-3894,1,,ualberta
815,JOURNAL OF HELMINTHOLOGY,0022-149X,1,,ualberta
816,JOURNAL OF HEREDITY,0022-1503,1,,ualberta
817,JOURNAL OF HERPETOLOGY,0022-1511,1,,ualberta
818,JOURNAL OF HISTORICAL GEOGRAPHY,0305-7488,1,,ualberta
819,JOURNAL OF HYDRAULIC RESEARCH,0022-1686,1,,ualberta
820,JOURNAL OF HYDRO-ENVIRONMENT RESEARCH,1570-6443,1,,ualberta
821,JOURNAL OF HYDROLOGIC ENGINEERING,1084-0699,1,,ualberta
822,JOURNAL OF HYDROLOGY,0022-1694,1,,ualberta
823,JOURNAL OF HYDROMETEOROLOGY,1525-755X,1,,ualberta
824,JOURNAL OF INDUSTRIAL ECOLOGY,1088-1980,1,,ualberta
825,JOURNAL OF INSECT BEHAVIOR,0892-7553,1,,ualberta
826,JOURNAL OF INSECT CONSERVATION,1366-638X,1,,ualberta
827,JOURNAL OF INSECT PHYSIOLOGY,0022-1910,1,,ualberta
828,JOURNAL OF INSECT SCIENCE,1536-2442,1,,ualberta
829,JOURNAL OF INTEGRATIVE AGRICULTURE,2095-3119,1,,ualberta
830,JOURNAL OF INTEGRATIVE ENVIRONMENTAL SCIENCES,1943-815X,1,,ualberta
831,JOURNAL OF INVERTEBRATE PATHOLOGY,0022-2011,1,,ualberta
832,JOURNAL OF ISLAND & COASTAL ARCHAEOLOGY,1556-4894,1,,ualberta
833,JOURNAL OF LAND USE SCIENCE,1747-423X,1,,ualberta
834,JOURNAL OF LANDSCAPE ARCHITECTURE,1862-6033,1,,ualberta
835,JOURNAL OF LATIN AMERICAN GEOGRAPHY,1545-2476,1,,ualberta
836,JOURNAL OF LIMNOLOGY,1129-5767,1,,ualberta
837,JOURNAL OF MAMMALOGY,0022-2372,1,,ualberta
838,JOURNAL OF MANAGEMENT STUDIES,0022-2380,1,,ualberta
839,JOURNAL OF MAPS,1744-5647,1,,ualberta
840,JOURNAL OF MARINE SYSTEMS,0924-7963,1,,ualberta
841,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,0022-247X,1,,ualberta
842,JOURNAL OF MATHEMATICAL BIOLOGY,0303-6812,1,,ualberta
843,JOURNAL OF MEDICAL ENTOMOLOGY,0022-2585,1,,ualberta
844,JOURNAL OF MEDICAL ETHICS,0306-6800,1,,ualberta
845,JOURNAL OF MEDICINAL PLANTS RESEARCH,1996-0875,1,,ualberta
846,JOURNAL OF MICROBIOLOGICAL METHODS,0167-7012,1,,ualberta
847,JOURNAL OF MOLECULAR LIQUIDS,0167-7322,1,,ualberta
848,JOURNAL OF MOLLUSCAN STUDIES,0260-1230,1,,ualberta
849,JOURNAL OF MOUNTAIN SCIENCE,1672-6316,1,,ualberta
850,JOURNAL OF NATURAL HISTORY,0022-2933,1,,ualberta
851,JOURNAL OF NEAR INFRARED SPECTROSCOPY,0967-0335,0,,ualberta
852,JOURNAL OF NEMATOLOGY,0022-300X,1,,ualberta
853,JOURNAL OF OCEAN ENGINEERING AND SCIENCE,2468-0133,1,,ualberta
854,JOURNAL OF OCEANOLOGY AND LIMNOLOGY,2096-5508,1,,ualberta
855,JOURNAL OF ORNITHOLOGY,2193-7192,1,,ualberta
856,JOURNAL OF OUTDOOR RECREATION AND TOURISM-RESEARCH PLANNING AND MANAGEMENT,2213-0780,1,,ualberta
857,JOURNAL OF PALEOLIMNOLOGY,0921-2728,1,,ualberta
858,JOURNAL OF PARK AND RECREATION ADMINISTRATION,0735-1968,1,,ualberta
859,JOURNAL OF PEASANT STUDIES,0306-6150,1,,ualberta
860,JOURNAL OF PEDIATRIC INFECTIOUS DISEASES,1305-7707,1,,ualberta
861,JOURNAL OF PEST SCIENCE,1612-4758,1,,ualberta
862,JOURNAL OF PLANNING LITERATURE,0885-4122,1,,ualberta
863,JOURNAL OF PLANT DISEASES AND PROTECTION,1861-3829,1,,ualberta
864,JOURNAL OF PLANT ECOLOGY,1752-9921,1,,ualberta
865,JOURNAL OF PLANT NUTRITION,0190-4167,1,,ualberta
866,JOURNAL OF POLICY RESEARCH IN TOURISM LEISURE AND EVENTS,1940-7963,0,,ualberta
867,JOURNAL OF POLITICAL ECOLOGY,1073-0451,1,,ualberta
868,JOURNAL OF POLYMER ENGINEERING,0334-6447,0,,ualberta
869,JOURNAL OF RANGE MANAGEMENT,0022-409X,1,,ualberta
870,JOURNAL OF RAPTOR RESEARCH,0892-1016,1,,ualberta
871,JOURNAL OF RISK RESEARCH,1366-9877,1,,ualberta
872,JOURNAL OF RURAL STUDIES,0743-0167,1,,ualberta
873,JOURNAL OF SEA RESEARCH,1385-1101,1,,ualberta
874,JOURNAL OF SHELLFISH RESEARCH,0730-8000,1,,ualberta
875,JOURNAL OF SIMULATION,1747-7778,1,,ualberta
876,JOURNAL OF SOIL AND WATER CONSERVATION,0022-4561,1,,ualberta
877,JOURNAL OF SOILS AND SEDIMENTS,1439-0108,1,,ualberta
878,JOURNAL OF SOUTHERN AFRICAN STUDIES,0305-7070,1,,ualberta
879,JOURNAL OF SUSTAINABLE FORESTRY,1054-9811,1,,ualberta
880,JOURNAL OF SUSTAINABLE TOURISM,0966-9582,1,,ualberta
881,JOURNAL OF SYSTEMATICS AND EVOLUTION,1674-4918,1,,ualberta
882,JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,1096-2247,1,,ualberta
883,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,8756-971X,1,,ualberta
884,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,1093-474X,1,,ualberta
885,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,0103-5053,1,,ualberta
886,JOURNAL OF THE CHARTERED INSTITUTION OF WATER AND ENVIRONMENTAL MANAGEMENT,1747-6585,1,,ualberta
887,JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA,0016-7622,1,,ualberta
888,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,0255-660X,1,,ualberta
889,JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,0022-8567,1,,ualberta
890,JOURNAL OF THE LEPIDOPTERISTS SOCIETY,0024-0966,1,,ualberta
891,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,0025-3154,1,,ualberta
892,JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,1391-4588,1,,ualberta
893,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,0887-3593,1,,ualberta
894,JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,1359-0987,1,,ualberta
895,JOURNAL OF THE ROYAL SOCIETY INTERFACE,1742-5689,1,,ualberta
896,JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,0303-6758,1,,ualberta
897,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,0035-9254,1,,ualberta
898,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,0022-5142,1,,ualberta
899,JOURNAL OF THE TORREY BOTANICAL SOCIETY,1095-5674,1,,ualberta
900,JOURNAL OF THEORETICAL BIOLOGY,0022-5193,1,,ualberta
901,JOURNAL OF THERMAL BIOLOGY,0306-4565,1,,ualberta
902,JOURNAL OF TRANSPORT GEOGRAPHY,0966-6923,1,,ualberta
903,JOURNAL OF TRAVEL RESEARCH,0047-2875,1,,ualberta
904,JOURNAL OF TROPICAL ECOLOGY,0266-4674,1,,ualberta
905,JOURNAL OF TROPICAL FOREST SCIENCE,0128-1283,1,,ualberta
906,JOURNAL OF URBAN MANAGEMENT,2226-5856,1,,ualberta
907,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,0733-9488,1,,ualberta
908,JOURNAL OF URBAN TECHNOLOGY,1063-0732,1,,ualberta
909,JOURNAL OF VEGETATION SCIENCE,1100-9233,1,,ualberta
910,JOURNAL OF WATER AND CLIMATE CHANGE,2040-2244,1,,ualberta
911,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,0733-9496,1,,ualberta
912,JOURNAL OF WILDLIFE DISEASES,0090-3558,1,,ualberta
913,JOURNAL OF WILDLIFE MANAGEMENT,0022-541X,1,,ualberta
914,JOURNAL OF ZHEJIANG UNIVERSITY-SCIENCE B,1673-1581,1,,ualberta
915,JOURNAL OF ZOOLOGY,0952-8369,1,,ualberta
916,JURNAL CITA HUKUM-INDONESIAN LAW JOURNAL,2356-1440,1,,ualberta
917,JURNAL ILMU DAN TEKNOLOGI KELAUTAN TROPIS,2087-9423,0,,ualberta
918,JURNAL TEKNOLOGI,0127-9696,0,,ualberta
919,KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS,1961-9502,1,,ualberta
920,KUWAIT JOURNAL OF SCIENCE & ENGINEERING,1024-8684,0,,ualberta
921,LAKE AND RESERVOIR MANAGEMENT,1040-2381,1,,ualberta
922,LAND DEGRADATION & DEVELOPMENT,1085-3278,1,,ualberta
923,LAND ECONOMICS,0023-7639,1,,ualberta
924,LAND USE POLICY,0264-8377,1,,ualberta
925,LANDBAUFORSCHUNG,0458-6859,0,,ualberta
926,LANDSCAPE AND ECOLOGICAL ENGINEERING,1860-1871,1,,ualberta
927,LANDSCAPE AND URBAN PLANNING,0169-2046,1,,ualberta
928,LANDSCAPE ARCHITECTURE FRONTIERS,2095-5405,1,,ualberta
929,LANDSCAPE ECOLOGY,0921-2973,1,,ualberta
930,LANDSCAPE JOURNAL,0277-2426,1,,ualberta
931,LANDSCAPE RESEARCH,0142-6397,1,,ualberta
932,LATERALITY,1357-650X,1,,ualberta
933,LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,0718-560X,1,,ualberta
934,LEADERSHIP,1742-7150,1,,ualberta
935,LEARNING CULTURE AND SOCIAL INTERACTION,2210-6561,1,,ualberta
936,LESNOY ZHURNAL-FORESTRY JOURNAL,0536-1036,0,,ualberta
937,LIMNETICA,0213-8409,0,,ualberta
938,LIMNOLOGICA,0075-9511,1,,ualberta
939,LIMNOLOGY AND OCEANOGRAPHY,0024-3590,1,,ualberta
940,LIMNOLOGY AND OCEANOGRAPHY-METHODS,1541-5856,1,,ualberta
941,LOCAL ENVIRONMENT,1354-9839,1,,ualberta
942,MADERA Y BOSQUES,2448-7597,1,,ualberta
943,MALACOLOGIA,0076-2997,1,,ualberta
944,MAMMAL RESEARCH,2199-2401,1,,ualberta
945,MAMMAL REVIEW,0305-1838,1,,ualberta
946,MAMMAL STUDY,1343-4152,1,,ualberta
947,MAMMALIAN BIOLOGY,1616-5047,1,,ualberta
948,MAN IN INDIA,0025-1569,0,,ualberta
949,MANAGEMENT OF BIOLOGICAL INVASIONS,1989-8649,1,,ualberta
950,MANAGEMENT OF ENVIRONMENTAL QUALITY,1477-7835,1,,ualberta
951,MARINE AND COASTAL FISHERIES,1942-5120,1,,ualberta
952,MARINE AND FRESHWATER RESEARCH,1323-1650,1,,ualberta
953,MARINE BIODIVERSITY,1867-1616,1,,ualberta
954,MARINE BIOLOGY,0025-3162,1,,ualberta
955,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,0173-9565,1,,ualberta
956,MARINE ECOLOGY PROGRESS SERIES,0171-8630,1,,ualberta
957,MARINE ENVIRONMENTAL RESEARCH,0141-1136,1,,ualberta
958,MARINE GEODESY,0149-0419,1,,ualberta
959,MARINE MAMMAL SCIENCE,0824-0469,1,,ualberta
960,MARINE POLICY,0308-597X,1,,ualberta
961,MARINE POLLUTION BULLETIN,0025-326X,1,,ualberta
962,MARINE RESOURCE ECONOMICS,0738-1360,1,,ualberta
963,MARINE TECHNOLOGY SOCIETY JOURNAL,0025-3324,1,,ualberta
964,MARITIME STUDIES,1872-7859,1,,ualberta
965,MATHEMATICAL AND COMPUTATIONAL FORESTRY & NATURAL-RESOURCE SCIENCES,1946-7664,1,,ualberta
966,MATHEMATICAL BIOSCIENCES,0025-5564,1,,ualberta
967,MATHEMATICS AND COMPUTERS IN SIMULATION,0378-4754,1,,ualberta
968,MEDICAL HYPOTHESES,0306-9877,1,,ualberta
969,MEDITERRANEAN BOTANY,2603-9109,1,,ualberta
970,MEDITERRANEAN MARINE SCIENCE,1108-393X,1,,ualberta
971,METALURGIA INTERNATIONAL,1582-2214,1,,ualberta
972,METHODS IN ECOLOGY AND EVOLUTION,2041-210X,1,,ualberta
973,METHODSX,2215-0161,1,,ualberta
974,MICROBIAL ECOLOGY,0095-3628,1,,ualberta
975,MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE,1381-2386,1,,ualberta
976,MITOCHONDRIAL DNA PART A,2470-1394,1,,ualberta
977,MODELING EARTH SYSTEMS AND ENVIRONMENT,2363-6203,1,,ualberta
978,MOLECULAR BIOLOGY REPORTS,0301-4851,1,,ualberta
979,MOLECULAR ECOLOGY,0962-1083,1,,ualberta
980,MOLECULAR ECOLOGY RESOURCES,1755-098X,1,,ualberta
981,MOLECULAR PHYLOGENETICS AND EVOLUTION,1055-7903,1,,ualberta
982,MOLLUSCAN RESEARCH,1323-5818,1,,ualberta
983,MOUNTAIN RESEARCH AND DEVELOPMENT,0276-4741,1,,ualberta
984,MYCOLOGIA,0027-5514,1,,ualberta
985,MYCORRHIZA,0940-6360,1,,ualberta
986,MYCOSPHERE,2077-7000,1,,ualberta
987,MYRMECOLOGICAL NEWS,1994-4136,0,,ualberta
988,NATIONAL ACADEMY SCIENCE LETTERS-INDIA,0250-541X,1,,ualberta
989,NATURAL AREAS JOURNAL,0885-8608,1,,ualberta
990,NATURAL HAZARDS,0921-030X,1,,ualberta
991,NATURAL RESOURCE MODELING,0890-8575,1,,ualberta
992,NATURAL RESOURCES FORUM,0165-0203,1,,ualberta
993,NATURAL RESOURCES JOURNAL,0028-0739,1,,ualberta
994,NATURE,0028-0836,1,,ualberta
995,NATURE CLIMATE CHANGE,1758-678X,1,,ualberta
996,NATURE COMMUNICATIONS,2041-1723,1,,ualberta
997,NATURE ECOLOGY & EVOLUTION,2397-334X,1,,ualberta
998,NATURE PLANTS,2055-026X,1,,ualberta
999,NATURE SUSTAINABILITY,2398-9629,1,,ualberta
1000,NATUREZA & CONSERVACAO,1679-0073,1,,ualberta
1001,NATURWISSENSCHAFTEN,0028-1042,1,,ualberta
1002,NEOTROPICAL ENTOMOLOGY,1519-566X,1,,ualberta
1003,NEOTROPICAL ICHTHYOLOGY,1679-6225,1,,ualberta
1004,NEW FORESTS,0169-4286,1,,ualberta
1005,NEW PHYTOLOGIST,0028-646X,1,,ualberta
1006,NEW ZEALAND JOURNAL OF BOTANY,0028-825X,1,,ualberta
1007,NEW ZEALAND JOURNAL OF ECOLOGY,0110-6465,1,,ualberta
1008,NEW ZEALAND JOURNAL OF FORESTRY SCIENCE,0048-0134,1,,ualberta
1009,NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,0028-8330,1,,ualberta
1010,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,1573-5214,1,,ualberta
1011,NONLINEAR DYNAMICS,0924-090X,1,,ualberta
1012,NORDIC JOURNAL OF BOTANY,0107-055X,1,,ualberta
1013,NORTH-WESTERN JOURNAL OF ZOOLOGY,1584-9074,1,,ualberta
1014,NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,0275-5947,1,,ualberta
1015,NORTHEASTERN NATURALIST,1092-6194,1,,ualberta
1016,NORTHWEST SCIENCE,0029-344X,1,,ualberta
1017,NOTORNIS,0029-4470,1,,ualberta
1018,NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA,0255-965X,1,,ualberta
1019,NOVA HEDWIGIA,0029-5035,1,,ualberta
1020,NUTRIENT CYCLING IN AGROECOSYSTEMS,1385-1314,1,,ualberta
1021,OCEAN & COASTAL MANAGEMENT,0964-5691,1,,ualberta
1022,OCEAN DEVELOPMENT AND INTERNATIONAL LAW,0090-8320,1,,ualberta
1023,OCEAN DYNAMICS,1616-7341,1,,ualberta
1024,OCEANOGRAPHY,1042-8275,1,,ualberta
1025,"OCEANOGRAPHY AND MARINE BIOLOGY, VOL 40",0078-3218,0,,ualberta
1026,OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,1730-413X,1,,ualberta
1027,ODONATOLOGICA,0375-0183,1,,ualberta
1028,OECOLOGIA,0029-8549,1,,ualberta
1029,OIKOS,0030-1299,1,,ualberta
1030,OPEN AGRICULTURE,2391-9531,1,,ualberta
1031,ORGANIZATION & ENVIRONMENT,1086-0266,1,,ualberta
1032,ORNIS FENNICA,0030-5685,1,,ualberta
1033,ORNITOLOGIA NEOTROPICAL,1075-4377,1,,ualberta
1034,ORYX,0030-6053,1,,ualberta
1035,OSTRICH,0030-6525,1,,ualberta
1036,OUTLOOK ON AGRICULTURE,0030-7270,0,,ualberta
1037,OXFORD REVIEW OF ECONOMIC POLICY,0266-903X,1,,ualberta
1038,OXIDATION COMMUNICATIONS,0209-4541,1,,ualberta
1039,PACIFIC SCIENCE,0030-8870,1,,ualberta
1040,PADDY AND WATER ENVIRONMENT,1611-2490,1,,ualberta
1041,PAKISTAN JOURNAL OF BOTANY,0556-3321,1,,ualberta
1042,PAKISTAN JOURNAL OF ZOOLOGY,0030-9923,1,,ualberta
1043,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,0031-0182,1,,ualberta
1044,PALEOBIOLOGY,0094-8373,1,,ualberta
1045,PALGRAVE COMMUNICATIONS,2055-1045,1,,ualberta
1046,PAPERS IN REGIONAL SCIENCE,1056-8190,1,,ualberta
1047,PARASITOLOGY,0031-1820,1,,ualberta
1048,PARASITOLOGY INTERNATIONAL,1383-5769,1,,ualberta
1049,PEDIATRICS,0031-4005,1,,ualberta
1050,PEDOBIOLOGIA,0031-4056,1,,ualberta
1051,PEDOSPHERE,1002-0160,1,,ualberta
1052,PERSPECTIVES IN ECOLOGY AND CONSERVATION,2530-0644,1,,ualberta
1053,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,1433-8319,1,,ualberta
1054,PERTANIKA JOURNAL OF SOCIAL SCIENCE AND HUMANITIES,0128-7702,1,,ualberta
1055,PEST MANAGEMENT SCIENCE,1526-498X,1,,ualberta
1056,PHILIPPINE AGRICULTURAL SCIENTIST,0031-7454,0,,ualberta
1057,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,1364-503X,1,,ualberta
1058,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8436,1,,ualberta
1059,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,0099-1112,0,,ualberta
1060,PHYSICS AND CHEMISTRY OF THE EARTH,1474-7065,1,,ualberta
1061,PHYSICS AND CHEMISTRY OF THE EARTH PART B-HYDROLOGY OCEANS AND ATMOSPHERE,1464-1909,1,,ualberta
1062,PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,1522-2152,1,,ualberta
1063,PHYSIOLOGY & BEHAVIOR,0031-9384,1,,ualberta
1064,PHYTOCHEMISTRY REVIEWS,1568-7767,1,,ualberta
1065,PHYTOCOENOLOGIA,0340-269X,1,,ualberta
1066,PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,1851-5657,1,,ualberta
1067,PHYTOPARASITICA,0334-2123,1,,ualberta
1068,PHYTOPATHOLOGY,0031-949X,1,,ualberta
1069,PHYTOPROTECTION,0031-9511,1,,ualberta
1070,PHYTOTAXA,1179-3155,1,,ualberta
1071,PLANNING PRACTICE AND RESEARCH,0269-7459,1,,ualberta
1072,PLANT AND SOIL,0032-079X,1,,ualberta
1073,PLANT BIOLOGY,1435-8603,1,,ualberta
1074,PLANT BIOSYSTEMS,1126-3504,1,,ualberta
1075,PLANT BIOTECHNOLOGY JOURNAL,1467-7644,1,,ualberta
1076,PLANT DIVERSITY,2096-2703,1,,ualberta
1077,PLANT ECOLOGY,1385-0237,1,,ualberta
1078,PLANT ECOLOGY & DIVERSITY,1755-0874,0,,ualberta
1079,PLANT ECOLOGY AND EVOLUTION,2032-3913,1,,ualberta
1080,PLANT SOIL AND ENVIRONMENT,1214-1178,1,,ualberta
